Property Name,Property Status,Type,Address,City,State,Zip,Tenant(s),Lease Term,Remaining Term,SqFt,Price/SqFt,Units,Price/Unit,NOI,Cap Rate,Asking Price,Opportunity Zone
Hwy 14 I-65  Exit 181,On-Market,Retail,AL-14,Millbrook,AL,36054,N/A,,,,,,,,,"$795,000.00 ",No
7460 S. Gartrell Road,On-Market,Retail,7460 S. Gartrell Road,Aurora,CO,80016,N/A,,,4451,$438.10 ,,,,,"$1,950,000.00 ",No
112TH  SHERIDAN,On-Market,Land,112th Ave & Sheridan Blvd,Westminster,CO,80031,N/A,,,,,,,,,,No
"Master Planned Development Opportunity- Prineville, OR- North of New St. Charles Prineville Hospital",On-Market,Land,Combs Flat Rd & US Hwy 26,Prineville,OR,97754,N/A,,,,,,,,,"$8,050,000.00 ",No
600 A W Church Street,On-Market,Office,600 A W Church Street,Cherryville,NC,28021,N/A,,,4026,$0.50 ,,,,,"$2,013.00 ",No
SWC Western Trail  Quaker Heights Pl NW,On-Market,Land,Western Trail,Albuquerque,NM,87120,N/A,,,,,,,,,"$595,000.00 ",No
"2400 W SAMPLE ROAD  4, Pompano Beach FL 33073",On-Market,Special Purpose,"2400 W SAMPLE ROAD # 4, Pompano Beach FL 33073",Pompano Beach,FL,33073,N/A,,,,,,,,,"$998,000.00 ",No
712 E. Venice Avenue,On-Market,Retail,712 E. Venice Avenue,Venice,FL,34285,Multi,,,,,,,,,"$1,700,000.00 ",No
"41 E Commercial Blvd, Oakland Park FL 33334",On-Market,Special Purpose,"41 E Commercial Blvd, Oakland Park FL 33334",Oakland Park,FL,33334,N/A,,,,,,,,,"$497,000.00 ",No
Dorchester Rd.  Netherby Lane,On-Market,Land,8100 Dorchester Rd,North Charleston,SC,29418,N/A,,,,,,,,,"$2,300,000.00 ",No
1510 W 19255 Springfield Rd,On-Market,Land,1510 W 19255 Springfield Rd,Taylorville,IL,62568,N/A,,,,,,,,,"$136,900.00 ",No
Grasso Pad Site,On-Market,Land,Co Rte 340/6,Charles Town,WV,25414,N/A,,,,,,,,,"$359,000.00 ",No
